File,Accent
audio_tsr\Track-267.wav,1
audio_tsr\Track-54.wav,1
audio_kkd\Track-22.wav,0
audio_kkd\Track-369.wav,0
audio_tsr\Track-460.wav,1
audio_tsr\Track-122.wav,1
audio_kkd\Track-356.wav,0
audio_tsr\Track-376.wav,1
audio_tsr\Track-487.wav,1
audio_tsr\Track-213.wav,1
audio_tsr\Track-145.wav,1
audio_kkd\Track-152.wav,0
audio_kkd\Track-36.wav,0
audio_tsr\Track-358.wav,1
audio_tsr\Track-243.wav,1
audio_kkd\Track-508.wav,0
audio_tsr\Track-453.wav,1
audio_tsr\Track-132.wav,1
audio_tsr\Track-354.wav,1
audio_kkd\Track-240.wav,0
audio_kkd\Track-97.wav,0
audio_tsr\Track-157.wav,1
audio_tsr\Track-496.wav,1
audio_kkd\Track-451.wav,0
audio_tsr\Track-370.wav,1
audio_tsr\Track-204.wav,1
audio_tsr\Track-233.wav,1
audio_tsr\Track-120.wav,1
audio_tsr\Track-252.wav,1
audio_tsr\Track-280.wav,1
audio_kkd\Track-471.wav,0
audio_kkd\Track-346.wav,0
audio_kkd\Track-496.wav,0
audio_kkd\Track-156.wav,0
audio_kkd\Track-436.wav,0
audio_kkd\Track-153.wav,0
audio_tsr\Track-399.wav,1
audio_tsr\Track-135.wav,1
audio_kkd\Track-221.wav,0
audio_kkd\Track-396.wav,0
audio_kkd\Track-151.wav,0
audio_kkd\Track-454.wav,0
audio_tsr\Track-474.wav,1
audio_kkd\Track-125.wav,0
audio_kkd\Track-380.wav,0
audio_kkd\Track-301.wav,0
audio_tsr\Track-431.wav,1
audio_tsr\Track-216.wav,1
audio_kkd\Track-507.wav,0
audio_kkd\Track-403.wav,0
audio_tsr\Track-421.wav,1
audio_kkd\Track-285.wav,0
audio_kkd\Track-52.wav,0
audio_kkd\Track-26.wav,0
audio_tsr\Track-15.wav,1
audio_tsr\Track-396.wav,1
audio_kkd\Track-310.wav,0
audio_kkd\Track-294.wav,0
audio_tsr\Track-368.wav,1
audio_tsr\Track-471.wav,1
audio_kkd\Track-481.wav,0
audio_kkd\Track-374.wav,0
audio_tsr\Track-390.wav,1
audio_tsr\Track-495.wav,1
audio_kkd\Track-11.wav,0
audio_kkd\Track-278.wav,0
audio_tsr\Track-447.wav,1
audio_kkd\Track-353.wav,0
audio_kkd\Track-57.wav,0
audio_tsr\Track-476.wav,1
audio_kkd\Track-181.wav,0
audio_kkd\Track-281.wav,0
audio_kkd\Track-465.wav,0
audio_tsr\Track-301.wav,1
audio_kkd\Track-105.wav,0
audio_kkd\Track-257.wav,0
audio_tsr\Track-111.wav,1
audio_tsr\Track-194.wav,1
audio_tsr\Track-84.wav,1
audio_kkd\Track-56.wav,0
audio_kkd\Track-08.wav,0
audio_kkd\Track-224.wav,0
audio_tsr\Track-448.wav,1
audio_tsr\Track-21.wav,1
audio_kkd\Track-235.wav,0
audio_tsr\Track-57.wav,1
audio_kkd\Track-305.wav,0
audio_kkd\Track-216.wav,0
